Ten-Year Age Groups,Ten-Year Age Groups Code,ICD Chapter,ICD Chapter Code,Year,Year Code,Deaths,Population,Crude Rate
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2008,2008,146,40636257,0.4
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2009,2009,138,40843063,0.3
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2010,2010,100,41025851,0.2
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2011,2011,103,41039048,0.3
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2012,2012,101,41144754,0.2
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2013,2013,94,41221035,0.2
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2014,2014,93,41191072,0.2
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2015,2015,115,41109506,0.3
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2016,2016,103,41048032,0.3
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2017,2017,108,41082692,0.3
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2018,2018,124,41075169,0.3
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2019,2019,103,40994163,0.3
5-14 years,14-May,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2020,2020,117,40992134,0.3
5-14 years,14-May,Codes for special purposes,U00-U99,2020,2020,49,40992134,0.1
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,1999,1999,3835,40819824,9.4
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2000,2000,3751,41077577,9.1
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2001,2001,3502,41152040,8.5
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2002,2002,3444,41133838,8.4
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2003,2003,3261,41036204,7.9
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2004,2004,3363,40865917,8.2
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2005,2005,3109,40601646,7.7
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2006,2006,2946,40577826,7.3
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2007,2007,2795,40555653,6.9
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2008,2008,2483,40636257,6.1
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2009,2009,2327,40843063,5.7
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2010,2010,2268,41025851,5.5
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2011,2011,2289,41039048,5.6
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2012,2012,2244,41144754,5.5
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2013,2013,2267,41221035,5.5
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2014,2014,2252,41191072,5.5
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2015,2015,2303,41109506,5.6
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2016,2016,2451,41048032,6
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2017,2017,2515,41082692,6.1
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2018,2018,2434,41075169,5.9
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2019,2019,2489,40994163,6.1
5-14 years,14-May,External causes of morbidity and mortality,V01-Y89,2020,2020,2737,40992134,6.7
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,1999,1999,480,38676031,1.2
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2000,2000,463,39183891,1.2
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2001,2001,531,40213570,1.3
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2002,2002,467,40854135,1.1
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2003,2003,487,41388854,1.2
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2004,2004,474,41948112,1.1
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2005,2005,460,42446169,1.1
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2006,2006,482,42843844,1.1
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2007,2007,463,43145815,1.1
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2008,2008,427,43391492,1
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2009,2009,424,43576932,1
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2010,2010,405,43626342,0.9
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2011,2011,374,43797875,0.9
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2012,2012,339,43943905,0.8
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2013,2013,364,43954402,0.8
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2014,2014,346,43979821,0.8
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2015,2015,345,43848216,0.8
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2016,2016,322,43511027,0.7
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2017,2017,288,43250295,0.7
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2018,2018,285,42970800,0.7
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2019,2019,263,42687510,0.6
15-24 years,15-24,Certain infectious and parasitic diseases,A00-B99,2020,2020,275,42555684,0.6
15-24 years,15-24,Neoplasms,C00-D48,1999,1999,1822,38676031,4.7
15-24 years,15-24,Neoplasms,C00-D48,2000,2000,1808,39183891,4.6
15-24 years,15-24,Neoplasms,C00-D48,2001,2001,1806,40213570,4.5
15-24 years,15-24,Neoplasms,C00-D48,2002,2002,1817,40854135,4.4
15-24 years,15-24,Neoplasms,C00-D48,2003,2003,1747,41388854,4.2
15-24 years,15-24,Neoplasms,C00-D48,2004,2004,1819,41948112,4.3
15-24 years,15-24,Neoplasms,C00-D48,2005,2005,1810,42446169,4.3
15-24 years,15-24,Neoplasms,C00-D48,2006,2006,1744,42843844,4.1
15-24 years,15-24,Neoplasms,C00-D48,2007,2007,1734,43145815,4
15-24 years,15-24,Neoplasms,C00-D48,2008,2008,1758,43391492,4.1
15-24 years,15-24,Neoplasms,C00-D48,2009,2009,1708,43576932,3.9
15-24 years,15-24,Neoplasms,C00-D48,2010,2010,1697,43626342,3.9
15-24 years,15-24,Neoplasms,C00-D48,2011,2011,1710,43797875,3.9
15-24 years,15-24,Neoplasms,C00-D48,2012,2012,1656,43943905,3.8
15-24 years,15-24,Neoplasms,C00-D48,2013,2013,1576,43954402,3.6
15-24 years,15-24,Neoplasms,C00-D48,2014,2014,1645,43979821,3.7
15-24 years,15-24,Neoplasms,C00-D48,2015,2015,1552,43848216,3.5
15-24 years,15-24,Neoplasms,C00-D48,2016,2016,1501,43511027,3.4
15-24 years,15-24,Neoplasms,C00-D48,2017,2017,1454,43250295,3.4
15-24 years,15-24,Neoplasms,C00-D48,2018,2018,1452,42970800,3.4
15-24 years,15-24,Neoplasms,C00-D48,2019,2019,1454,42687510,3.4
15-24 years,15-24,Neoplasms,C00-D48,2020,2020,1371,42555684,3.2
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1999,1999,196,38676031,0.5
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2000,2000,155,39183891,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2001,2001,168,40213570,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2002,2002,183,40854135,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2003,2003,174,41388854,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2004,2004,188,41948112,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2005,2005,174,42446169,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2006,2006,165,42843844,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2007,2007,167,43145815,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2008,2008,163,43391492,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2009,2009,178,43576932,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2010,2010,181,43626342,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2011,2011,170,43797875,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2012,2012,153,43943905,0.3
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2013,2013,167,43954402,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2014,2014,156,43979821,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2015,2015,157,43848216,0.4
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2016,2016,145,43511027,0.3
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2017,2017,150,43250295,0.3
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2018,2018,128,42970800,0.3
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2019,2019,143,42687510,0.3
15-24 years,15-24,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2020,2020,139,42555684,0.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,1999,1999,524,38676031,1.4
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2000,2000,507,39183891,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2001,2001,498,40213570,1.2
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2002,2002,537,40854135,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2003,2003,539,41388854,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2004,2004,520,41948112,1.2
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2005,2005,570,42446169,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2006,2006,526,42843844,1.2
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2007,2007,528,43145815,1.2
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2008,2008,574,43391492,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2009,2009,548,43576932,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2010,2010,526,43626342,1.2
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2011,2011,525,43797875,1.2
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2012,2012,542,43943905,1.2
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2013,2013,551,43954402,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2014,2014,583,43979821,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2015,2015,552,43848216,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2016,2016,554,43511027,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2017,2017,567,43250295,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2018,2018,580,42970800,1.3
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2019,2019,588,42687510,1.4
15-24 years,15-24,"Endocrine, nutritional and metabolic diseases",E00-E88,2020,2020,614,42555684,1.4
15-24 years,15-24,Mental and behavioural disorders,F01-F99,1999,1999,218,38676031,0.6
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2000,2000,254,39183891,0.6
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2001,2001,232,40213570,0.6
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2002,2002,238,40854135,0.6
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2003,2003,281,41388854,0.7
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2004,2004,305,41948112,0.7
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2005,2005,333,42446169,0.8
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2006,2006,334,42843844,0.8
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2007,2007,212,43145815,0.5
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2008,2008,181,43391492,0.4
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2009,2009,176,43576932,0.4
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2010,2010,177,43626342,0.4
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2011,2011,207,43797875,0.5
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2012,2012,221,43943905,0.5
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2013,2013,204,43954402,0.5
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2014,2014,196,43979821,0.4
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2015,2015,246,43848216,0.6
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2016,2016,256,43511027,0.6
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2017,2017,220,43250295,0.5
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2018,2018,182,42970800,0.4
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2019,2019,177,42687510,0.4
15-24 years,15-24,Mental and behavioural disorders,F01-F99,2020,2020,205,42555684,0.5
15-24 years,15-24,Diseases of the nervous system,G00-G98,1999,1999,790,38676031,2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2000,2000,735,39183891,1.9
15-24 years,15-24,Diseases of the nervous system,G00-G98,2001,2001,838,40213570,2.1
15-24 years,15-24,Diseases of the nervous system,G00-G98,2002,2002,809,40854135,2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2003,2003,895,41388854,2.2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2004,2004,836,41948112,2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2005,2005,917,42446169,2.2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2006,2006,967,42843844,2.3
15-24 years,15-24,Diseases of the nervous system,G00-G98,2007,2007,929,43145815,2.2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2008,2008,1004,43391492,2.3
15-24 years,15-24,Diseases of the nervous system,G00-G98,2009,2009,948,43576932,2.2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2010,2010,912,43626342,2.1
15-24 years,15-24,Diseases of the nervous system,G00-G98,2011,2011,870,43797875,2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2012,2012,928,43943905,2.1
15-24 years,15-24,Diseases of the nervous system,G00-G98,2013,2013,897,43954402,2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2014,2014,963,43979821,2.2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2015,2015,928,43848216,2.1
15-24 years,15-24,Diseases of the nervous system,G00-G98,2016,2016,932,43511027,2.1
15-24 years,15-24,Diseases of the nervous system,G00-G98,2017,2017,886,43250295,2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2018,2018,902,42970800,2.1
15-24 years,15-24,Diseases of the nervous system,G00-G98,2019,2019,874,42687510,2
15-24 years,15-24,Diseases of the nervous system,G00-G98,2020,2020,953,42555684,2.2
15-24 years,15-24,Diseases of the circulatory system,I00-I99,1999,1999,1345,38676031,3.5
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2000,2000,1346,39183891,3.4
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2001,2001,1318,40213570,3.3
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2002,2002,1318,40854135,3.2
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2003,2003,1497,41388854,3.6
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2004,2004,1368,41948112,3.3
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2005,2005,1427,42446169,3.4
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2006,2006,1422,42843844,3.3
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2007,2007,1409,43145815,3.3
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2008,2008,1386,43391492,3.2
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2009,2009,1349,43576932,3.1
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2010,2010,1334,43626342,3.1
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2011,2011,1306,43797875,3
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2012,2012,1249,43943905,2.8
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2013,2013,1216,43954402,2.8
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2014,2014,1248,43979821,2.8
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2015,2015,1271,43848216,2.9
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2016,2016,1216,43511027,2.8
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2017,2017,1177,43250295,2.7
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2018,2018,1176,42970800,2.7
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2019,2019,1150,42687510,2.7
15-24 years,15-24,Diseases of the circulatory system,I00-I99,2020,2020,1206,42555684,2.8
15-24 years,15-24,Diseases of the respiratory system,J00-J98,1999,1999,541,38676031,1.4
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2000,2000,552,39183891,1.4
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2001,2001,528,40213570,1.3
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2002,2002,532,40854135,1.3
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2003,2003,604,41388854,1.5
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2004,2004,531,41948112,1.3
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2005,2005,477,42446169,1.1
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2006,2006,473,42843844,1.1
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2007,2007,513,43145815,1.2
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2008,2008,548,43391492,1.3
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2009,2009,814,43576932,1.9
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2010,2010,509,43626342,1.2
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2011,2011,572,43797875,1.3
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2012,2012,446,43943905,1
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2013,2013,504,43954402,1.1
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2014,2014,543,43979821,1.2
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2015,2015,561,43848216,1.3
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2016,2016,555,43511027,1.3
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2017,2017,535,43250295,1.2
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2018,2018,555,42970800,1.3
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2019,2019,527,42687510,1.2
15-24 years,15-24,Diseases of the respiratory system,J00-J98,2020,2020,573,42555684,1.3
15-24 years,15-24,Diseases of the digestive system,K00-K92,1999,1999,232,38676031,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2000,2000,255,39183891,0.7
15-24 years,15-24,Diseases of the digestive system,K00-K92,2001,2001,216,40213570,0.5
15-24 years,15-24,Diseases of the digestive system,K00-K92,2002,2002,261,40854135,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2003,2003,262,41388854,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2004,2004,275,41948112,0.7
15-24 years,15-24,Diseases of the digestive system,K00-K92,2005,2005,248,42446169,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2006,2006,263,42843844,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2007,2007,275,43145815,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2008,2008,270,43391492,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2009,2009,286,43576932,0.7
15-24 years,15-24,Diseases of the digestive system,K00-K92,2010,2010,273,43626342,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2011,2011,268,43797875,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2012,2012,260,43943905,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2013,2013,263,43954402,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2014,2014,242,43979821,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2015,2015,245,43848216,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2016,2016,271,43511027,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2017,2017,235,43250295,0.5
15-24 years,15-24,Diseases of the digestive system,K00-K92,2018,2018,241,42970800,0.6
15-24 years,15-24,Diseases of the digestive system,K00-K92,2019,2019,232,42687510,0.5
15-24 years,15-24,Diseases of the digestive system,K00-K92,2020,2020,277,42555684,0.7
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,1999,1999,17,38676031,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2000,2000,18,39183891,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2001,2001,15,40213570,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2002,2002,21,40854135,0.1
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2003,2003,19,41388854,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2004,2004,32,41948112,0.1
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2005,2005,13,42446169,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2006,2006,21,42843844,0
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2007,2007,11,43145815,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2008,2008,17,43391492,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2009,2009,19,43576932,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2010,2010,22,43626342,0.1
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2012,2012,20,43943905,0
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2013,2013,13,43954402,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2014,2014,23,43979821,0.1
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2015,2015,12,43848216,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2016,2016,21,43511027,0
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2017,2017,13,43250295,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2018,2018,13,42970800,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2019,2019,15,42687510,Unreliable
15-24 years,15-24,Diseases of the skin and subcutaneous tissue,L00-L98,2020,2020,18,42555684,Unreliable
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,1999,1999,148,38676031,0.4
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2000,2000,152,39183891,0.4
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2001,2001,182,40213570,0.5
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2002,2002,154,40854135,0.4
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2003,2003,177,41388854,0.4
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2004,2004,154,41948112,0.4
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2005,2005,163,42446169,0.4
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2006,2006,176,42843844,0.4
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2007,2007,161,43145815,0.4
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2008,2008,146,43391492,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2009,2009,138,43576932,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2010,2010,130,43626342,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2011,2011,116,43797875,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2012,2012,126,43943905,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2013,2013,134,43954402,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2014,2014,111,43979821,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2015,2015,118,43848216,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2016,2016,120,43511027,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2017,2017,117,43250295,0.3
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2018,2018,96,42970800,0.2
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2019,2019,90,42687510,0.2
15-24 years,15-24,Diseases of the musculoskeletal system and connective tissue,M00-M99,2020,2020,110,42555684,0.3
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,1999,1999,94,38676031,0.2
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,2000,2000,115,39183891,0.3
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,2001,2001,114,40213570,0.3
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,2002,2002,112,40854135,0.3
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,2003,2003,135,41388854,0.3
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,2004,2004,116,41948112,0.3
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,2005,2005,130,42446169,0.3
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,2006,2006,118,42843844,0.3
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,2007,2007,125,43145815,0.3
15-24 years,15-24,Diseases of the genitourinary system,N00-N98,2008,2008,106,43391492,0.2
